metro,city,year_month,house_count,power_use,bill
제주특별자치도,제주시,2021-02,262151,233.13,29168
제주특별자치도,서귀포시,2021-02,102723,216.15,27445
세종특별자치시, ,2021-02,177640,291.19,33496
서울특별시,서대문구,2021-03,159897,209.41,21206
서울특별시,동작구,2021-03,202872,192.35,19080
서울특별시,송파구,2021-03,284687,237.15,24854
서울특별시,중구,2021-03,73328,196.14,19988
서울특별시,성동구,2021-03,140383,228.64,23088
서울특별시,도봉구,2021-03,147921,221.63,21192
서울특별시,은평구,2021-03,224776,217.86,22359
서울특별시,관악구,2021-03,301164,164.71,15080
서울특별시,종로구,2021-03,87657,188.72,21004
서울특별시,동대문구,2021-03,189934,197.35,19108
서울특별시,구로구,2021-03,206558,210.82,20394
서울특별시,강동구,2021-03,208942,214.59,21965
서울특별시,강남구,2021-03,262082,234.06,26565
서울특별시,금천구,2021-03,132629,187.21,17680
서울특별시,성북구,2021-03,211460,221.68,22865
서울특별시,마포구,2021-03,194841,205.17,20436
서울특별시,영등포구,2021-03,211247,201.3,19881
서울특별시,서초구,2021-03,185791,246.71,29103
서울특별시,용산구,2021-03,124350,216.64,24641
서울특별시,강서구,2021-03,283965,203.71,19868
서울특별시,중랑구,2021-03,194506,202.63,19758
서울특별시,노원구,2021-03,224408,226.73,20501
서울특별시,양천구,2021-03,191296,237.02,24176
서울특별시,광진구,2021-03,186234,186.01,18656
서울특별시,강북구,2021-03,156545,198.55,19158
부산광역시,북구,2021-03,132844,226.59,21677
부산광역시,사하구,2021-03,158406,210.46,20121
부산광역시,해운대구,2021-03,191586,241.72,24742
부산광역시,중구,2021-03,31924,148.41,14170
부산광역시,금정구,2021-03,129504,201.39,20136
부산광역시,영도구,2021-03,64175,190.84,18305
부산광역시,부산진구,2021-03,196571,210.8,20482
부산광역시,동래구,2021-03,129111,229.82,23502
부산광역시,남구,2021-03,137313,222.48,22719
부산광역시,기장군,2021-03,53977,210.02,21799
부산광역시,서구,2021-03,62458,192.08,19312
부산광역시,사상구,2021-03,108101,207.29,19336
부산광역시,동구,2021-03,54289,183.66,17781
부산광역시,강서구,2021-03,69727,226.02,23050
부산광역시,수영구,2021-03,97221,209.34,20923
부산광역시,연제구,2021-03,102337,228.72,22798
대구광역시,남구,2021-03,90651,179.09,17400
대구광역시,중구,2021-03,49208,185.47,18012
대구광역시,서구,2021-03,94900,190.26,18538
대구광역시,달성군,2021-03,118846,226.95,21651
대구광역시,수성구,2021-03,194957,240.95,24912
대구광역시,달서구,2021-03,271133,226.21,21443
대구광역시,동구,2021-03,179638,211.91,20419
대구광역시,북구,2021-03,215510,223.94,21433
인천광역시,미추홀구,2021-03,222338,196.89,19534
인천광역시,계양구,2021-03,135746,221.26,21590
인천광역시,부평구,2021-03,234868,221.76,21519
인천광역시,연수구,2021-03,172815,252.26,27041
인천광역시,남동구,2021-03,248431,230.26,22776
인천광역시,동구,2021-03,31607,214.83,20886
인천광역시,서구,2021-03,252072,235.37,24806
인천광역시,강화군,2021-03,40480,174.01,21537
인천광역시,중구,2021-03,81328,202.58,20439
인천광역시,옹진군,2021-03,13943,148.78,17318
