ISO_CODE,metro,city,year_month,house_count,power_use,bill,total_usage
KR-26,부산광역시,서구,2021-01,62601,233.72,27756,14631105.72
KR-26,부산광역시,동래구,2021-01,127414,277.69,32777,35381593.66
KR-26,부산광역시,남구,2021-01,137228,266.52,31067,36574006.56
KR-26,부산광역시,사하구,2021-01,158552,254.71,28081,40384779.92
KR-27,대구광역시,북구,2021-01,215449,264.23,28502,56928089.27
KR-27,대구광역시,달성군,2021-01,118099,268.06,28943,31657617.94
KR-27,대구광역시,중구,2021-01,48284,231.69,26406,11186919.96
KR-27,대구광역시,서구,2021-01,94942,231.8,26578,22007555.6
KR-27,대구광역시,달서구,2021-01,272183,265.34,28440,72221037.22
KR-27,대구광역시,동구,2021-01,178849,254.0,28177,45427646.0
KR-27,대구광역시,수성구,2021-01,195097,288.41,33980,56267925.77
KR-27,대구광역시,남구,2021-01,90866,218.6,24845,19863307.6
KR-28,인천광역시,옹진군,2021-01,13917,190.8,25906,2655363.6
KR-28,인천광역시,중구,2021-01,79949,253.87,29989,20296652.63
KR-28,인천광역시,미추홀구,2021-01,221502,239.72,27631,53098459.44
KR-28,인천광역시,남동구,2021-01,248361,275.92,31494,68527767.12
KR-28,인천광역시,계양구,2021-01,135718,266.71,29866,36197347.78
KR-28,인천광역시,강화군,2021-01,40274,219.31,30303,8832490.94
KR-28,인천광역시,부평구,2021-01,235306,269.27,30242,63360846.62
KR-28,인천광역시,동구,2021-01,31656,260.62,29446,8250186.72
KR-28,인천광역시,서구,2021-01,249108,284.18,34108,70791511.44
KR-28,인천광역시,연수구,2021-01,172790,296.98,35827,51315174.2
KR-29,광주광역시,남구,2021-01,109024,269.82,31017,29416855.68
KR-29,광주광역시,동구,2021-01,65227,233.13,27289,15206370.51
KR-29,광주광역시,서구,2021-01,155275,260.12,28632,40390133.0
KR-29,광주광역시,광산구,2021-01,199915,266.7,29074,53317330.5
KR-29,광주광역시,북구,2021-01,229107,253.37,27859,58048840.59
KR-30,대전광역시,유성구,2021-01,179163,260.52,28779,46675544.76
